txtFieldNote,intControl,txtPDFExists,txtFileNo,txtType
1-Jan,1027957,Y,SC 000001:11,E
1-Jan,1028179,Y,SC 000004:34,E
10-Jan,1027965,Y,SC 000001:19,E
1-100,1028140,Y,SC 000003:53,E
1-102,1028483,Y,SC 000009:55,E
1-104,1028254,Y,SC 000005:55,E
1-105,1028095,Y,SC 000003:8,E
1-106,1028155,Y,SC 000004:10,E
1-107,1028191,Y,SC 000004:46,E
1-108,1028184,Y,SC 000004:39,E
1-109,1028174,Y,SC 000004:29,E
11-Jan,1027974,Y,SC 000001:28,E
1-110,1028106,Y,SC 000003:19,E
1-111,1028109,Y,SC 000003:22,E
1-112,1028179,Y,SC 000004:34,E
1-116,1028161,Y,SC 000004:16,E
1-117,1028040,Y,SC 000002:23,E
1-118,1028211,Y,SC 000005:12,E
1-119,1028087,Y,SC 000002:70,E
12-Jan,1027973,Y,SC 000001:27,E
12-Jan,1028076,Y,SC 000002:59,E
1-121,1028221,Y,SC 000005:22,E
1-122,1028135,Y,SC 000003:48,E
1-123,1028103,Y,SC 000003:16,E
1-124,1027953,Y,SC 000001:7,E
1-124,1028580,Y,SC 000011:24,E
1-125,1028076,Y,SC 000002:59,E
1-126,1028076,Y,SC 000002:59,E
1-127,1028118,Y,SC 000003:31,E
1-128,1028010,Y,SC 000001:64,E
1-129,1028134,Y,SC 000003:47,E
13-Jan,1028254,Y,SC 000005:55,E
1-132,1028157,Y,SC 000004:12,E
1-132,1028187,Y,SC 000004:42,E
1-132,1028188,Y,SC 000004:43,E
1-132,1028205,Y,SC 000005:6,E
1-133,1027952,Y,SC 000001:6,E
1-134,1028148,Y,SC 000004:3,E
1-137,1028105,Y,SC 000003:18,E
1-138,1028169,Y,SC 000004:24,E
1-139,1028149,Y,SC 000004:4,E
14-Jan,1027971,Y,SC 000001:25,E
14-Jan,1028103,Y,SC 000003:16,E
14-Jan,1028134,Y,SC 000003:47,E
1-140.5,1028190,Y,SC 000004:45,E
1-141,1028190,Y,SC 000004:45,E
1-142,1028200,Y,SC 000005:1,E
1-143,1028086,Y,SC 000002:69,E
1-144,1028134,Y,SC 000003:47,E
1-145,1028105,Y,SC 000003:18,E
1-145.375,1028103,Y,SC 000003:16,E
1-145.75,1028135,Y,SC 000003:48,E
1-146,1028189,Y,SC 000004:44,E
1-147,1028870,Y,SC 000017:10,E
1-148,1028195,Y,SC 000004:50,E
1-149,1028115,Y,SC 000003:28,E
15-Jan,1027971,Y,SC 000001:25,E
1-150,1028747,Y,SC 000014:28,E
1-152,1028887,Y,SC 000017:27,E
1-153,1028758,Y,SC 000014:39,E
1-154,1028774,Y,SC 000015:5,E
1-155,1028105,Y,SC 000003:18,E
1-157,1028646,Y,SC 000012:28,E
1-159,1028513,Y,SC 000010:20,E
16-Jan,1027972,Y,SC 000001:26,E
1-161,1028842,Y,SC 000016:26,E
1-162,1028962,Y,SC 000018:59,E
1-166,1028197,Y,SC 000004:52,E
1-167,1028197,Y,SC 000004:52,E
1-168,1028197,Y,SC 000004:52,E
1-169,1028769,Y,SC 000014:50,E
17-Jan,1028187,Y,SC 000004:42,E
17-Jan,1028188,Y,SC 000004:43,E
1-172,1029144,Y,SC 000022:10,E
1-173,1028205,Y,SC 000005:6,E
1-174,1028188,Y,SC 000004:43,E
1-175,1028157,Y,SC 000004:12,E
1-176,1028187,Y,SC 000004:42,E
1-177,1028107,Y,SC 000003:20,E
1-180.5,1028198,Y,SC 000004:53,E
1-181,1027998,Y,SC 000001:52,E
1-182,1028055,Y,SC 000002:38,E
1-183,1028029,Y,SC 000002:12,E
1-184,1028081,Y,SC 000002:64,E
1-188,1028198,Y,SC 000004:53,E
1-189,1028011,Y,SC 000001:65,E
1-189,1028034,Y,SC 000002:17,E
1-189,1028222,Y,SC 000005:23,E
1-189.5,1028069,Y,SC 000002:52,E
19-Jan,1028124,Y,SC 000003:37,E
1-19.5,1028165,Y,SC 000004:20,E
1-190,1027962,Y,SC 000001:16,E
1-190.5,1028047,Y,SC 000002:30,E
1-191,1027999,Y,SC 000001:53,E
1-192,1028254,Y,SC 000005:55,E
1-193,1028254,Y,SC 000005:55,E
1-194,1028139,Y,SC 000003:52,E
1-195,1028063,Y,SC 000002:46,E
1-196,1028013,Y,SC 000001:67,E
1-197,1028947,Y,SC 000018:44,E
1-199,1028869,Y,SC 000017:9,E
2-Jan,1027950,Y,SC 000001:4,E
20-Jan,1028020,Y,SC 000002:3,E
1-20.5,1028165,Y,SC 000004:20,E
1-200,1028869,Y,SC 000017:9,E
1-201,1028642,Y,SC 000012:24,E
1-203,1028740,Y,SC 000014:21,E
1-205.5,1028117,Y,SC 000003:30,E
1-206,1028138,Y,SC 000003:51,E
